hexsha,patch,summary,author
13a028336f2c,https://github.com/qemu/qemu/commit/13a028336f2c,block/file-posix: Fix return value translation for AIO discards,Ari Sundholm
c4e4d0d92b37,https://github.com/qemu/qemu/commit/c4e4d0d92b37,hw/nvram: Fix Memory Leak in Xilinx eFuse QOM,Tong Ho
26778ac3da79,https://github.com/qemu/qemu/commit/26778ac3da79,bsd-user/mmap.c: check pread's return value to fix warnings with _FORTIFY_SOURCE,Mikaël Urankar
f053b7e8005d,https://github.com/qemu/qemu/commit/f053b7e8005d,block: bdrv_insert_node(): fix and improve error handling,Vladimir Sementsov-Ogievskiy
68b88468f6a4,https://github.com/qemu/qemu/commit/68b88468f6a4,migration: add missing qemu_mutex_lock_iothread in migration_completion,Emanuele Giuseppe Esposito
3c158eba1e11,https://github.com/qemu/qemu/commit/3c158eba1e11,migration: block-dirty-bitmap: add missing qemu_mutex_lock_iothread,Emanuele Giuseppe Esposito
75b98cb9f645,https://github.com/qemu/qemu/commit/75b98cb9f645,virtio-mem-pci: Fix memory leak when creating MEMORY_DEVICE_SIZE_CHANGE event,David Hildenbrand
523a3d9524d5,https://github.com/qemu/qemu/commit/523a3d9524d5,target/i386: Fix memory leak in sev_read_file_base64(),Peter Maydell
4ff2a971f4dd,https://github.com/qemu/qemu/commit/4ff2a971f4dd,host-utils: fix missing zero-extension in divs128,Luis Pires
ab36edcfeaa2,https://github.com/qemu/qemu/commit/ab36edcfeaa2,vhost-vdpa: fix leaking of vhost_net in vhost_vdpa_add(),Jason Wang
edb40732bfb2,https://github.com/qemu/qemu/commit/edb40732bfb2,vhost-user: add missing space in error message,Alyssa Ross
1f89d3b91e3e,https://github.com/qemu/qemu/commit/1f89d3b91e3e,hw/virtio: Fix leak of host-notifier memory-region,Yajun Wu
8efdb7ba1b2a,https://github.com/qemu/qemu/commit/8efdb7ba1b2a,softmmu/physmem.c: Check return value from realpath(),Peter Maydell
0d9a6654512a,https://github.com/qemu/qemu/commit/0d9a6654512a,microvm: Drop dead error handling in microvm_machine_state_init(),Markus Armbruster
aa6f7448ebef,https://github.com/qemu/qemu/commit/aa6f7448ebef,vhost-scsi: Plug memory leak on migrate_add_blocker() failure,Markus Armbruster
96ac9719331c,https://github.com/qemu/qemu/commit/96ac9719331c,multi-process: Fix pci_proxy_dev_realize() error handling,Markus Armbruster
e2ef4fc7aeb7,https://github.com/qemu/qemu/commit/e2ef4fc7aeb7,spapr: Plug memory leak when we can't add a migration blocker,Markus Armbruster
0b46318170bf,https://github.com/qemu/qemu/commit/0b46318170bf,hw/core: Add missing return on error,Philippe Mathieu-Daudé
a7686d5d8528,https://github.com/qemu/qemu/commit/a7686d5d8528,Hexagon (disas/hexagon.c) fix memory leak for early exit cases,Taylor Simpson
6ff5b5d6d521,https://github.com/qemu/qemu/commit/6ff5b5d6d521,ui/sdl2: Check return value from g_setenv(),Peter Maydell
057489dd1586,https://github.com/qemu/qemu/commit/057489dd1586,qga: fix leak of base64 decoded data on command error,Daniel P. Berrangé
5f4884c44123,https://github.com/qemu/qemu/commit/5f4884c44123,hw/nvme: fix missing variable initializers,Klaus Jensen
87ab88025247,https://github.com/qemu/qemu/commit/87ab88025247,block: Fix in_flight leak in request padding error path,Kevin Wolf
ce72f11274f6,https://github.com/qemu/qemu/commit/ce72f11274f6,qga-win: Fix handle leak in ga_get_win_product_name(),Basil Salman
0c317eb3dd40,https://github.com/qemu/qemu/commit/0c317eb3dd40,target/arm: Add missing 'return's after calling v7m_exception_taken(),Peter Maydell
461fea9bf1db,https://github.com/qemu/qemu/commit/461fea9bf1db,qemu-config: fix memory leak on ferror(),Paolo Bonzini
e72f9524febb,https://github.com/qemu/qemu/commit/e72f9524febb,"qemu-config: never call the callback after an error, fix leak",Paolo Bonzini
