hexsha,patch,summary,author
c270b055d94b,https://github.com/git/git/commit/c270b055d94b,submodule--helper: fix small memory leaks,Ævar Arnfjörð Bjarmason
27ff1fbc5dd5,https://github.com/git/git/commit/27ff1fbc5dd5,"clone: fix a memory leak of the ""git_dir"" variable",Ævar Arnfjörð Bjarmason
f3af71c947cd,https://github.com/git/git/commit/f3af71c947cd,gpg-interface: fix leak of strbufs in get_ssh_key_fingerprint(),Jeff King
78d468f1a9c7,https://github.com/git/git/commit/78d468f1a9c7,"gpg-interface: fix leak of ""line"" in parse_ssh_output()",Jeff King
6e658547d355,https://github.com/git/git/commit/6e658547d355,sequencer: fix a memory leak in do_reset(),Ævar Arnfjörð Bjarmason
e861b0963626,https://github.com/git/git/commit/e861b0963626,test-read-midx: fix leak of bitmap_index struct,Jeff King
35f070b4de8f,https://github.com/git/git/commit/35f070b4de8f,rebase: use our standard error return value,Phillip Wood
6eccfc3adf70,https://github.com/git/git/commit/6eccfc3adf70,tr2: leave the parent list empty upon failure & don't leak memory,Ævar Arnfjörð Bjarmason
48f68715b14b,https://github.com/git/git/commit/48f68715b14b,"tr2: stop leaking ""thread_name"" memory",Ævar Arnfjörð Bjarmason
9bb6c2e54f88,https://github.com/git/git/commit/9bb6c2e54f88,"midx: close linked MIDXs, avoid leaking memory",Taylor Blau
ccdd5d1eb14a,https://github.com/git/git/commit/ccdd5d1eb14a,"mailmap.c: fix a memory leak in free_mailap_{info,entry}()",Ævar Arnfjörð Bjarmason
88682b016dcb,https://github.com/git/git/commit/88682b016dcb,protocol-caps.c: fix memory leak in send_info(),Ævar Arnfjörð Bjarmason
5146c2f148e9,https://github.com/git/git/commit/5146c2f148e9,credential: fix leak in credential_apply_config(),Mike Hommey
9a863b3358b8,https://github.com/git/git/commit/9a863b3358b8,reset: clear_unpack_trees_porcelain to plug leak,Andrzej Hunt
ed3c566d97f2,https://github.com/git/git/commit/ed3c566d97f2,builtin/mv: free or UNLEAK multiple pointers at end of cmd_mv,Andrzej Hunt
675ea4efdbe2,https://github.com/git/git/commit/675ea4efdbe2,convert: release strbuf to avoid leak,Andrzej Hunt
