repo_name,target_API,post_operation,ref_commit,count,commit_urls,critical_variable_role
Kernel,nf_conntrack_init_net,nf_conntrack_cleanup_net,ac088a88b5d5,1,https://github.com/torvalds/linux/commit/ac088a88b5d5,arg0
Kernel,arm_smmu_rpm_get,arm_smmu_rpm_put,7c8f176d6a3f,1,https://github.com/torvalds/linux/commit/7c8f176d6a3f,arg0
Kernel,ipoib_cm_dev_init,ipoib_cm_dev_cleanup,6958e827f187,1,https://github.com/torvalds/linux/commit/6958e827f187,arg0
Kernel,class_find_device,put_device,"49d2ca84e433
3ed7897242b7
c090959b9dd8
0f303db08df0
0e1614ac84f1
4ce30874f561",6,"https://github.com/torvalds/linux/commit/49d2ca84e433
https://github.com/torvalds/linux/commit/3ed7897242b7
https://github.com/torvalds/linux/commit/c090959b9dd8
https://github.com/torvalds/linux/commit/0f303db08df0
https://github.com/torvalds/linux/commit/0e1614ac84f1
https://github.com/torvalds/linux/commit/4ce30874f561",retval
Kernel,xfrm_init_state,xfrm_state_put,553f9118abc4,1,https://github.com/torvalds/linux/commit/553f9118abc4,arg0
Kernel,batadv_hardif_get_by_netdev,batadv_hardif_put,f872de8185ac,1,https://github.com/torvalds/linux/commit/f872de8185ac,retval
Kernel,scsi_alloc_queue,scsi_free_queue,f7c9c6bb14f3,1,https://github.com/torvalds/linux/commit/f7c9c6bb14f3,arg0
Kernel,aead_request_alloc,aead_request_free,6af1f93e2a01,1,https://github.com/torvalds/linux/commit/6af1f93e2a01,retval
Kernel,mtk_hsdma_init,mtk_hsdma_uninit,d887d6104ade,1,https://github.com/torvalds/linux/commit/d887d6104ade,arg0
Kernel,pci_get_dev_by_id,pci_dev_put,d5af7d987a49,1,https://github.com/torvalds/linux/commit/d5af7d987a49,retval
Kernel,ieee80211_alloc_hw,ieee80211_free_hw,9a25344d5177,1,https://github.com/torvalds/linux/commit/9a25344d5177,retval
